CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81480152,-25.5584308697738,-49.3207049341475,1,14:47,31,81520300,-25.4623570695212,-49.2422078636873,True,14:50
81520300,-25.4623570695212,-49.2422078636873,1,14:50,52,82940170,-25.454631812,-49.2228321157173,True,15:02
82940170,-25.454631812,-49.2228321157173,1,15:02,37,81020420,-25.4920196819718,-49.2840872729491,True,15:18
81020420,-25.4920196819718,-49.2840872729491,1,15:18,35,82015110,-25.4160406938864,-49.3250852303798,True,15:35
82015110,-25.4160406938864,-49.3250852303798,1,15:35,34,81452040,-25.4998370213564,-49.3545044201704,True,15:53
81452040,-25.4998370213564,-49.3545044201704,1,15:53,34,80730430,-25.430157,-49.293614,True,16:07
80730430,-25.430157,-49.293614,1,16:07,34,82821020,-25.4233146347775,-49.2160678044742,True,16:19
82821020,-25.4233146347775,-49.2160678044742,1,16:19,37,82130470,-25.3763584193723,-49.2754817420857,True,16:19
82130470,-25.3763584193723,-49.2754817420857,1,16:19,0,81490620,-25.6132684714507,-49.3349370738516,False,16:41
81490620,-25.6132684714507,-49.3349370738516,1,16:41,32,81910160,-25.530759191602,-49.2694617027723,True,17:02
81910160,-25.530759191602,-49.2694617027723,1,17:02,32,80050435,-25.4305533081275,-49.2435107491958,True,17:28
80050435,-25.4305533081275,-49.2435107491958,1,17:28,31,81265330,-25.4702238422545,-49.3713250851996,True,17:39
81265330,-25.4702238422545,-49.3713250851996,1,17:39,38,81070000,-25.4763966710448,-49.3031041977101,True,17:50
81070000,-25.4763966710448,-49.3031041977101,1,17:50,39,81910230,-25.5278877309024,-49.2672872891657,True,18:12
81910230,-25.5278877309024,-49.2672872891657,1,18:12,32,80040153,-25.4213319028677,-49.2481648998847,True,18:15
80040153,-25.4213319028677,-49.2481648998847,1,18:15,46,82520590,-25.4131761050287,-49.2261971905551,True,18:34
82520590,-25.4131761050287,-49.2261971905551,1,18:34,33,81710590,-25.5021303917908,-49.2606525653797,True,18:54
81710590,-25.5021303917908,-49.2606525653797,1,18:54,33,80820350,-25.4104868271504,-49.2948596739003,True,06:00
80820350,-25.4104868271504,-49.2948596739003,2,06:00,33,81550240,-25.4774264375435,-49.2110857497498,True,06:02
81550240,-25.4774264375435,-49.2110857497498,3,06:02,50,82980600,-25.4666337593647,-49.1916779820241,True,06:14
